The loss of epoch204is:tf.Tensor(5.5201545, shape=(), dtype=float32)
The loss of epoch205is:tf.Tensor(5.467893, shape=(), dtype=float32)
The loss of epoch206is:tf.Tensor(5.495908, shape=(), dtype=float32)
The loss of epoch207is:tf.Tensor(5.3898444, shape=(), dtype=float32)
The loss of epoch208is:tf.Tensor(5.23865, shape=(), dtype=float32)
The loss of epoch209is:tf.Tensor(5.4235454, shape=(), dtype=float32)
The loss of epoch210is:tf.Tensor(5.5248275, shape=(), dtype=float32)
The loss of epoch211is:tf.Tensor(5.1963153, shape=(), dtype=float32)
The loss of epoch212is:tf.Tensor(5.311264, shape=(), dtype=float32)
The loss of epoch213is:tf.Tensor(5.4838777, shape=(), dtype=float32)
The loss of epoch214is:tf.Tensor(5.4265904, shape=(), dtype=float32)
The loss of epoch215is:tf.Tensor(5.413046, shape=(), dtype=float32)
The loss of epoch216is:tf.Tensor(5.483451, shape=(), dtype=float32)
The loss of epoch217is:tf.Tensor(5.442772, shape=(), dtype=float32)
The loss of epoch218is:tf.Tensor(5.3277164, shape=(), dtype=float32)
The loss of epoch219is:tf.Tensor(5.291209, shape=(), dtype=float32)
The loss of epoch220is:tf.Tensor(5.187377, shape=(), dtype=float32)
The loss of epoch221is:tf.Tensor(5.277954, shape=(), dtype=float32)
The loss of epoch222is:tf.Tensor(5.29751, shape=(), dtype=float32)
The loss of epoch223is:tf.Tensor(5.240623, shape=(), dtype=float32)
The loss of epoch224is:tf.Tensor(5.567028, shape=(), dtype=float32)
The loss of epoch225is:tf.Tensor(5.277238, shape=(), dtype=float32)
The loss of epoch226is:tf.Tensor(5.390373, shape=(), dtype=float32)
The loss of epoch227is:tf.Tensor(5.4482503, shape=(), dtype=float32)
The loss of epoch228is:tf.Tensor(5.3716908, shape=(), dtype=float32)
The loss of epoch229is:tf.Tensor(5.3408775, shape=(), dtype=float32)
The loss of epoch230is:tf.Tensor(5.024291, shape=(), dtype=float32)
The loss of epoch231is:tf.Tensor(5.0541935, shape=(), dtype=float32)
The loss of epoch232is:tf.Tensor(5.0893707, shape=(), dtype=float32)
The loss of epoch233is:tf.Tensor(5.2947164, shape=(), dtype=float32)
The loss of epoch234is:tf.Tensor(5.093816, shape=(), dtype=float32)
The loss of epoch235is:tf.Tensor(5.2870646, shape=(), dtype=float32)
The loss of epoch236is:tf.Tensor(5.314169, shape=(), dtype=float32)
The loss of epoch237is:tf.Tensor(5.2929587, shape=(), dtype=float32)
The loss of epoch238is:tf.Tensor(5.1779785, shape=(), dtype=float32)
The loss of epoch239is:tf.Tensor(5.318826, shape=(), dtype=float32)
The loss of epoch240is:tf.Tensor(5.224962, shape=(), dtype=float32)
The loss of epoch241is:tf.Tensor(5.2424374, shape=(), dtype=float32)
The loss of epoch242is:tf.Tensor(5.1282473, shape=(), dtype=float32)
The loss of epoch243is:tf.Tensor(5.1695204, shape=(), dtype=float32)
The loss of epoch244is:tf.Tensor(5.305898, shape=(), dtype=float32)
The loss of epoch245is:tf.Tensor(5.2497215, shape=(), dtype=float32)
The loss of epoch246is:tf.Tensor(5.27381, shape=(), dtype=float32)
The loss of epoch247is:tf.Tensor(5.1808777, shape=(), dtype=float32)
The loss of epoch248is:tf.Tensor(5.473249, shape=(), dtype=float32)
The loss of epoch249is:tf.Tensor(5.3388033, shape=(), dtype=float32)
The loss of epoch250is:tf.Tensor(5.1548157, shape=(), dtype=float32)
The loss of epoch251is:tf.Tensor(4.903803, shape=(), dtype=float32)
The loss of epoch252is:tf.Tensor(5.2183967, shape=(), dtype=float32)
The loss of epoch253is:tf.Tensor(4.9490523, shape=(), dtype=float32)
The loss of epoch254is:tf.Tensor(5.1751122, shape=(), dtype=float32)
The loss of epoch255is:tf.Tensor(5.192929, shape=(), dtype=float32)
The loss of epoch256is:tf.Tensor(5.1905775, shape=(), dtype=float32)
The loss of epoch257is:tf.Tensor(5.319748, shape=(), dtype=float32)
The loss of epoch258is:tf.Tensor(5.361847, shape=(), dtype=float32)
The loss of epoch259is:tf.Tensor(5.1803327, shape=(), dtype=float32)
The loss of epoch260is:tf.Tensor(5.443001, shape=(), dtype=float32)
The loss of epoch261is:tf.Tensor(5.042801, shape=(), dtype=float32)
The loss of epoch262is:tf.Tensor(5.128125, shape=(), dtype=float32)
The loss of epoch263is:tf.Tensor(4.934635, shape=(), dtype=float32)
The loss of epoch264is:tf.Tensor(4.920697, shape=(), dtype=float32)
The loss of epoch265is:tf.Tensor(5.091028, shape=(), dtype=float32)
The loss of epoch266is:tf.Tensor(5.087778, shape=(), dtype=float32)
The loss of epoch267is:tf.Tensor(5.097675, shape=(), dtype=float32)
The loss of epoch268is:tf.Tensor(5.258086, shape=(), dtype=float32)
The loss of epoch269is:tf.Tensor(5.100914, shape=(), dtype=float32)
The loss of epoch270is:tf.Tensor(5.343691, shape=(), dtype=float32)
The loss of epoch271is:tf.Tensor(5.2554207, shape=(), dtype=float32)
The loss of epoch272is:tf.Tensor(5.0982924, shape=(), dtype=float32)
The loss of epoch273is:tf.Tensor(4.9225855, shape=(), dtype=float32)
The loss of epoch274is:tf.Tensor(5.166159, shape=(), dtype=float32)
The loss of epoch275is:tf.Tensor(5.15367, shape=(), dtype=float32)
The loss of epoch276is:tf.Tensor(5.180272, shape=(), dtype=float32)
The loss of epoch277is:tf.Tensor(5.32797, shape=(), dtype=float32)
The loss of epoch278is:tf.Tensor(5.2399373, shape=(), dtype=float32)
The loss of epoch279is:tf.Tensor(5.3066487, shape=(), dtype=float32)
The loss of epoch280is:tf.Tensor(4.8787956, shape=(), dtype=float32)
The loss of epoch281is:tf.Tensor(5.2711177, shape=(), dtype=float32)
The loss of epoch282is:tf.Tensor(5.0976825, shape=(), dtype=float32)
The loss of epoch283is:tf.Tensor(5.2985754, shape=(), dtype=float32)
The loss of epoch284is:tf.Tensor(5.0635858, shape=(), dtype=float32)
The loss of epoch285is:tf.Tensor(5.0683966, shape=(), dtype=float32)
The loss of epoch286is:tf.Tensor(5.2218227, shape=(), dtype=float32)
The loss of epoch287is:tf.Tensor(5.4057684, shape=(), dtype=float32)
The loss of epoch288is:tf.Tensor(5.0452156, shape=(), dtype=float32)
The loss of epoch289is:tf.Tensor(5.040352, shape=(), dtype=float32)
The loss of epoch290is:tf.Tensor(5.298705, shape=(), dtype=float32)
The loss of epoch291is:tf.Tensor(5.180493, shape=(), dtype=float32)
The loss of epoch292is:tf.Tensor(5.201033, shape=(), dtype=float32)
The loss of epoch293is:tf.Tensor(5.0988746, shape=(), dtype=float32)
The loss of epoch294is:tf.Tensor(4.850207, shape=(), dtype=float32)
The loss of epoch295is:tf.Tensor(4.990696, shape=(), dtype=float32)
The loss of epoch296is:tf.Tensor(4.88483, shape=(), dtype=float32)
The loss of epoch297is:tf.Tensor(5.0639515, shape=(), dtype=float32)
The loss of epoch298is:tf.Tensor(5.1685796, shape=(), dtype=float32)
The loss of epoch299is:tf.Tensor(5.2340155, shape=(), dtype=float32)
The loss of epoch300is:tf.Tensor(4.7504053, shape=(), dtype=float32)
The loss of epoch301is:tf.Tensor(5.0472245, shape=(), dtype=float32)
The loss of epoch302is:tf.Tensor(4.819559, shape=(), dtype=float32)
The loss of epoch303is:tf.Tensor(4.6615453, shape=(), dtype=float32)
The loss of epoch304is:tf.Tensor(4.848636, shape=(), dtype=float32)
The loss of epoch305is:tf.Tensor(5.2019343, shape=(), dtype=float32)
The loss of epoch306is:tf.Tensor(4.925001, shape=(), dtype=float32)
The loss of epoch307is:tf.Tensor(4.98663, shape=(), dtype=float32)
The loss of epoch308is:tf.Tensor(5.103582, shape=(), dtype=float32)
The loss of epoch309is:tf.Tensor(5.00651, shape=(), dtype=float32)
The loss of epoch310is:tf.Tensor(5.006375, shape=(), dtype=float32)
The loss of epoch311is:tf.Tensor(5.192177, shape=(), dtype=float32)
The loss of epoch312is:tf.Tensor(4.9233456, shape=(), dtype=float32)
The loss of epoch313is:tf.Tensor(5.0156913, shape=(), dtype=float32)
The loss of epoch314is:tf.Tensor(5.0737286, shape=(), dtype=float32)
The loss of epoch315is:tf.Tensor(5.1797724, shape=(), dtype=float32)
The loss of epoch316is:tf.Tensor(5.273064, shape=(), dtype=float32)
The loss of epoch317is:tf.Tensor(5.2179265, shape=(), dtype=float32)
The loss of epoch318is:tf.Tensor(5.100442, shape=(), dtype=float32)
The loss of epoch319is:tf.Tensor(5.0590663, shape=(), dtype=float32)
The loss of epoch320is:tf.Tensor(5.08212, shape=(), dtype=float32)
The loss of epoch321is:tf.Tensor(5.24611, shape=(), dtype=float32)
The loss of epoch322is:tf.Tensor(4.653331, shape=(), dtype=float32)
